2019-08-01
2019-09-01
Motiejus;Sabonis;31;192;Striker;Šaulys;True;False
Antanas;Valančiūnas;22;187;Attacker;L. Rytas;True;False
Aloyzas;Pavardėnis;30;206;Defender;L. Rytas;False;False
Juozas;Valančiūnas;30;179;Striker;Šaulys;False;False
Juozas;Pavardėnis;33;207;Attacker;L. Rytas;True;True
Petras;Valančiūnas;27;191;Striker;Kruojos;True;False
Vardėnis;Sabonis;30;191;Attacker;L. Rytas;True;False
Juozas;Pavardėnis;26;185;Attacker;Kruojos;True;False
Motiejus;Sabonis;23;194;Attacker;L. Rytas;True;False
Juozas;Pavardėnis;23;192;Sniper;L. Rytas;False;False
Juozas;Sabonis;27;176;Defender;L. Rytas;False;False
Vardėnis;Žukauskas;25;202;Sniper;Žalgiris;False;False
Antanas;Sabonis;20;194;Sniper;Žalgiris;False;False
Petras;Žukauskas;22;186;Attacker;L. Rytas;True;False
Vardėnis;Jasikevičius;29;187;Defender;L. Rytas;True;False
Vardėnis;Pavardėnis;18;193;Attacker;Šaulys;False;False
Petras;Valančiūnas;24;180;Attacker;Šaulys;False;False
Motiejus;Sabonis;20;186;Attacker;Kruojos;False;False
Vardėnis;Jasikevičius;32;200;Defender;L. Rytas;True;False
Antanas;Valančiūnas;21;175;Defender;Šaulys;False;False
Motiejus;Pavardėnis;29;193;Defender;L. Rytas;False;False
Vardėnis;Žukauskas;24;195;Attacker;L. Rytas;True;False
Motiejus;Sabonis;23;179;Striker;L. Rytas;True;False
Juozas;Žukauskas;22;183;Attacker;L. Rytas;True;False
Juozas;Jasikevičius;34;204;Sniper;Žalgiris;True;False
Vardėnis;Sabonis;22;176;Attacker;Žalgiris;False;False
Aloyzas;Valančiūnas;31;200;Attacker;Žalgiris;True;False
Petras;Žukauskas;22;177;Sniper;Šaulys;False;False
Juozas;Žukauskas;21;191;Striker;Žalgiris;True;False
Juozas;Pavardėnis;29;194;Attacker;Žalgiris;True;False
Vardėnis;Valančiūnas;28;182;Sniper;L. Rytas;False;False
Aloyzas;Jasikevičius;32;179;Defender;L. Rytas;False;False
Motiejus;Sabonis;32;179;Striker;Šaulys;False;False
Petras;Sabonis;23;191;Attacker;Kruojos;False;False
Juozas;Pavardėnis;18;184;Sniper;L. Rytas;True;False
Vardėnis;Pavardėnis;19;201;Defender;Kruojos;True;False
Juozas;Pavardėnis;28;202;Defender;Šaulys;True;False
Petras;Jasikevičius;33;177;Defender;Kruojos;False;False
Vardėnis;Sabonis;25;192;Striker;Žalgiris;True;False
Vardėnis;Valančiūnas;24;205;Sniper;Šaulys;True;False
Aloyzas;Pavardėnis;34;194;Attacker;Kruojos;True;False
Juozas;Sabonis;33;200;Attacker;Žalgiris;True;False
Juozas;Jasikevičius;28;182;Sniper;Kruojos;False;False
Juozas;Sabonis;25;186;Attacker;Žalgiris;True;False
Petras;Jasikevičius;31;175;Sniper;Kruojos;False;False
Aloyzas;Pavardėnis;29;182;Sniper;Kruojos;True;False
Vardėnis;Žukauskas;21;192;Defender;L. Rytas;True;False
Aloyzas;Jasikevičius;27;194;Striker;L. Rytas;True;False
Petras;Valančiūnas;31;195;Attacker;Žalgiris;False;False
Juozas;Jasikevičius;24;193;Defender;L. Rytas;False;False
Motiejus;Valančiūnas;22;199;Sniper;L. Rytas;False;False
Petras;Sabonis;26;201;Defender;Šaulys;False;False
Aloyzas;Sabonis;19;194;Attacker;Kruojos;False;False
Motiejus;Žukauskas;33;203;Striker;Žalgiris;False;False
Petras;Žukauskas;29;206;Sniper;Kruojos;True;False
Juozas;Žukauskas;23;186;Attacker;L. Rytas;False;False
Petras;Sabonis;19;192;Attacker;Šaulys;False;False
Aloyzas;Jasikevičius;33;187;Sniper;Kruojos;True;False
Motiejus;Žukauskas;21;198;Defender;Kruojos;True;False
Aloyzas;Sabonis;30;209;Striker;Šaulys;True;False
Motiejus;Žukauskas;18;203;Sniper;Kruojos;True;False
Antanas;Jasikevičius;31;203;Attacker;L. Rytas;False;False
Antanas;Valančiūnas;26;196;Sniper;Šaulys;False;False
Motiejus;Sabonis;26;195;Defender;L. Rytas;False;False
Motiejus;Pavardėnis;20;183;Defender;Šaulys;True;False
Antanas;Sabonis;28;187;Sniper;Žalgiris;True;False
Antanas;Valančiūnas;28;178;Attacker;L. Rytas;True;False
Vardėnis;Jasikevičius;20;182;Striker;Šaulys;False;False
Vardėnis;Pavardėnis;27;200;Attacker;L. Rytas;True;False
Petras;Pavardėnis;31;185;Defender;L. Rytas;False;False
Petras;Valančiūnas;26;179;Attacker;Žalgiris;False;False
Motiejus;Valančiūnas;23;201;Striker;Kruojos;True;False
Motiejus;Pavardėnis;32;183;Attacker;L. Rytas;True;False
Aloyzas;Valančiūnas;30;197;Defender;Žalgiris;False;False
Juozas;Jasikevičius;19;176;Sniper;L. Rytas;True;False
Petras;Jasikevičius;18;198;Attacker;Kruojos;False;False
Antanas;Pavardėnis;31;195;Sniper;Kruojos;True;False
Motiejus;Sabonis;20;181;Attacker;L. Rytas;True;False
Petras;Sabonis;30;203;Striker;Žalgiris;True;False
Vardėnis;Pavardėnis;22;175;Attacker;Žalgiris;True;False
Vardėnis;Valančiūnas;34;189;Striker;L. Rytas;True;False
Aloyzas;Sabonis;19;194;Sniper;L. Rytas;True;False
Motiejus;Valančiūnas;32;192;Striker;Kruojos;False;False
